id,booking_id,user_id,vendor_id,service_id,rating,comment,created_at,updated_at
1,201,38,1,1,4,Good job overall. Skilled and worth the price.,2025-05-21 03:47:42,2025-05-21 03:47:42
2,869,74,1,1,4,Very good experience. Professional and quality is good.,2024-09-14 04:52:05,2024-09-14 04:52:05
3,939,77,1,1,4,Very good experience. Professional and quality is good.,2024-08-14 18:04:24,2024-08-14 18:04:24
4,88,32,1,3,4,Very good experience. Professional and quality is good.,2024-05-27 20:13:04,2024-05-27 20:13:04
5,408,48,1,3,5,Outstanding work. Very punctual and quality is top-notch.,2025-07-27 02:38:21,2025-07-27 02:38:21
6,23,2,1,5,3,Average service. Did the work but could be more thorough.,2024-02-25 11:22:35,2024-02-25 11:22:35
7,695,64,1,5,5,"Perfect service! Courteous, skilled, and finished on time.",2024-04-22 18:43:13,2024-04-22 18:43:13
8,895,75,1,5,5,Outstanding work. Very punctual and quality is top-notch.,2025-10-29 17:38:11,2025-10-29 17:38:11
9,916,76,1,5,5,Amazing experience! Did a fantastic job. Very satisfied.,2025-07-30 07:39:03,2025-07-30 07:39:03
10,609,59,1,7,5,Highly professional! Exceeded expectations. Best service!,2025-02-17 17:46:19,2025-02-17 17:46:19
11,804,70,1,8,4,Nice work. Professional approach and good quality.,2024-05-07 21:56:22,2024-05-07 21:56:22
12,175,37,1,9,4,Good job overall. Skilled and worth the price.,2025-04-05 02:33:46,2025-04-05 02:33:46
13,39,29,1,10,4,Good job overall. Skilled and worth the price.,2024-09-02 18:03:33,2024-09-02 18:03:33
14,697,64,1,10,5,"Perfect service! Courteous, skilled, and finished on time.",2024-05-17 01:17:51,2024-05-17 01:17:51
15,435,50,1,11,5,Amazing experience! Did a fantastic job. Very satisfied.,2024-11-22 11:48:47,2024-11-22 11:48:47
16,334,45,1,12,5,Excellent service! Very professional and completed the work perfectly.,2024-03-14 02:36:14,2024-03-14 02:36:14
17,371,47,1,14,5,Amazing experience! Did a fantastic job. Very satisfied.,2025-08-10 06:06:51,2025-08-10 06:06:51
18,514,54,1,14,4,Very good experience. Professional and quality is good.,2024-01-02 07:17:25,2024-01-02 07:17:25
19,946,77,1,14,5,Outstanding work. Very punctual and quality is top-notch.,2024-08-15 23:10:55,2024-08-15 23:10:55
20,430,50,1,15,5,Excellent service! Very professional and completed the work perfectly.,2024-07-18 18:51:02,2024-07-18 18:51:02
21,251,41,1,16,4,Nice work. Professional approach and good quality.,2025-08-30 03:23:25,2025-08-30 03:23:25
22,780,69,1,16,5,"Perfect service! Courteous, skilled, and finished on time.",2024-12-21 16:30:41,2024-12-21 16:30:41
23,53,30,1,18,5,Highly professional! Exceeded expectations. Best service!,2025-01-23 09:06:50,2025-01-23 09:06:50
24,156,36,1,18,5,Amazing experience! Did a fantastic job. Very satisfied.,2025-01-22 15:18:45,2025-01-22 15:18:45
25,407,48,1,18,5,Outstanding work. Very punctual and quality is top-notch.,2024-12-27 11:08:46,2024-12-27 11:08:46
26,413,49,1,18,5,Amazing experience! Did a fantastic job. Very satisfied.,2025-07-27 17:56:14,2025-07-27 17:56:14
27,485,53,1,18,5,Amazing experience! Did a fantastic job. Very satisfied.,2025-02-04 14:42:46,2025-02-04 14:42:46
28,87,32,1,19,4,Good job overall. Skilled and worth the price.,2025-02-03 17:00:52,2025-02-03 17:00:52
29,116,34,1,19,5,Outstanding work. Very punctual and quality is top-notch.,2024-01-03 14:00:20,2024-01-03 14:00:20
30,79,32,1,20,4,Nice work. Professional approach and good quality.,2024-05-21 04:04:24,2024-05-21 04:04:24
31,533,55,1,20,3,Decent work. Nothing exceptional but job was done.,2024-02-20 08:35:51,2024-02-20 08:35:51
