question,answer,category,display_order,is_active
How do I create an account on BOOK-KARO?,"Click on 'Create Free Account' in the navigation bar, fill in your details including name, email, phone number, and address, then submit the form. You'll be automatically logged in and can start browsing services.",Getting Started,1,TRUE
Is registration free?,Yes! Registration is completely free. There are no hidden charges for creating an account or browsing services.,Getting Started,2,TRUE
How do I book a service?,"Browse services by category or location, click on a service to view details, then click 'Book This Service'. Fill in your preferred date and time, and submit the booking. You'll receive a confirmation once the vendor accepts.",Getting Started,3,TRUE
How do I track my bookings?,"Navigate to 'My Bookings' from the navigation menu. You can filter bookings by status: Pending, Confirmed, Completed, or Cancelled. Click on any booking to view detailed information.",Bookings & Payments,4,TRUE
Can I cancel a booking?,"Yes, you can cancel a booking before it's confirmed by the vendor. Go to 'My Bookings', click on the booking, and select 'Cancel Booking'. Once confirmed or in progress, cancellation policies may vary.",Bookings & Payments,5,TRUE
What payment methods are accepted?,"Currently, payments are handled directly with service providers. Payment methods may include cash, UPI, cards, or online transfer depending on the provider's preferences.",Bookings & Payments,6,TRUE
How does pricing work?,"Each service has a base price displayed on the service card. Final pricing may vary based on specific requirements, which will be confirmed by the vendor before service delivery.",Bookings & Payments,7,TRUE
What types of services are available?,"BOOK-KARO offers a wide range of home services including Plumbing, Electrical work, Cleaning, Carpentry, Painting, AC Repair, Appliance Repair, and more. Browse by category to see all available services.",Services & Providers,8,TRUE
How are service providers verified?,"All service providers on BOOK-KARO undergo a verification process including identity checks, skill verification, and background checks. We continuously monitor provider ratings and reviews.",Services & Providers,9,TRUE
Can I choose a specific service provider?,"Yes, when you view service details, you can see the provider's information, ratings, and reviews. You can choose to book with providers you trust or have worked with before.",Services & Providers,10,TRUE
How do I rate and review a service?,"After a service is completed, go to 'My Bookings', click on the completed booking, and you'll see an option to write a review. Rate the service from 1-5 stars and share your experience.",Services & Providers,11,TRUE
How do I update my profile information?,"Go to 'My Profile' from the navigation menu, click 'Edit Profile', update your information, and click 'Save Changes'. You can update your name, phone number, and address details.",Account & Profile,12,TRUE
Can I save multiple addresses?,"Yes! Go to 'My Profile' and navigate to the 'Addresses' tab. You can add multiple addresses (Home, Office, etc.) and set a default address for bookings.",Account & Profile,13,TRUE
How do I save my favorite services?,Click the heart icon on any service card or detail page to add it to your favorites. Access your saved favorites from the heart icon in the navigation bar.,Account & Profile,14,TRUE
How do I reset my password?,"Currently, password reset can be requested through the Contact Us page. Future updates will include a self-service password reset option.",Account & Profile,15,TRUE
Is my personal information safe?,"Yes, we take data security seriously. Your personal information is encrypted and stored securely. We never share your data with third parties without your consent.",Safety & Support,16,TRUE
What if I'm not satisfied with a service?,"If you're unhappy with a service, please contact us through the Help Center with your booking details. We'll work with you and the provider to resolve the issue.",Safety & Support,17,TRUE
How do I report a problem with a provider?,You can report issues through the Contact Us page or email us at support@BOOK-KARO.com. Include your booking ID and details of the issue for fastest resolution.,Safety & Support,18,TRUE
What are the service hours?,"Our customer support is available Monday-Saturday, 9 AM - 6 PM IST. Service providers may have different availability, which you can check on their profile.",Safety & Support,19,TRUE
